Name;Currency;Ask;Open;PreviousClose;PercentChange;PriceBook;Change;DaysHigh;DaysLow;EarningsShare;AfterHoursChangeRealtime;AnnualizedGain;Ask;AskRealtime;AverageDailyVolume;Bid;BidRealtime;BookValue;Change;ChangeFromFiftydayMovingAverage;ChangeFromTwoHundreddayMovingAverage;ChangeFromYearHigh;ChangeFromYearLow;ChangePercentRealtime;ChangeRealtime;Change_PercentChange;ChangeinPercent;Commission;Currency;DaysHigh;DaysLow;DaysRange;DaysRangeRealtime;DaysValueChange;DaysValueChangeRealtime;DividendPayDate;DividendShare;DividendYield;EBITDA;EPSEstimateCurrentYear;EPSEstimateNextQuarter;EPSEstimateNextYear;EarningsShare;ErrorIndicationreturnedforsymbolchangedinvalid;ExDividendDate;FiftydayMovingAverage;HighLimit;HoldingsGain;HoldingsGainPercent;HoldingsGainPercentRealtime;HoldingsGainRealtime;HoldingsValue;HoldingsValueRealtime;LastTradeDate;LastTradePriceOnly;LastTradeRealtimeWithTime;LastTradeTime;LastTradeWithTime;LowLimit;MarketCapRealtime;MarketCapitalization;MoreInfo;Name;Notes;OneyrTargetPrice;Open;OrderBookRealtime;PEGRatio;PERatio;PERatioRealtime;PercebtChangeFromYearHigh;PercentChange;PercentChangeFromFiftydayMovingAverage;PercentChangeFromTwoHundreddayMovingAverage;PercentChangeFromYearLow;PreviousClose;PriceBook;PriceEPSEstimateCurrentYear;PriceEPSEstimateNextYear;PricePaid;PriceSales;SharesOwned;ShortRatio;StockExchange;Symbol;TickerTrend;TradeDate;TwoHundreddayMovingAverage;Volume;YearHigh;YearLow;YearRange;symbol
IMAGE SCAN HOLDINGS PLC ORD 1P;GBp;13.00;12.65;12.38;+2.63%;1767.86;+0.32;13.00;12.31;0.20;;;13.00;;396258;12.50;;0.01;+0.32;2.65;5.34;-0.70;8.20;;;+0.32 - +2.63%;+2.63%;;GBp;13.00;12.31;12.31 - 13.00;;;;;;;269997.00;0.20;0.00;;0.20;;;10.05;;;;;;;;11/1/2017;12.70;;2:22pm;2:22pm - <b>12.70</b>;;;15.95M;;IMAGE SCAN HOLDINGS PLC ORD 1P;;;12.65;;0.00;63.50;;-5.22%;+2.63%;+26.32%;+72.47%;+182.22%;12.38;1767.86;;;;385.81;;0.00;LSE;IGE.L;;;7.36;804814;13.40;4.50;4.50 - 13.40;IGE.L
IG GROUP HOLDINGS PLC ORD 0.005;GBp;653.50;653.50;653.50;-0.08%;325.61;-0.50;663.50;648.50;45.90;;;653.50;;795519;653.00;;2.01;-0.50;14.64;50.31;-200.00;211.30;;;-0.50 - -0.08%;-0.08%;;GBp;663.50;648.50;648.50 - 663.50;;;;;;;0.00;48.24;0.00;;45.90;;9/28/2017;638.36;;;;;;;;11/1/2017;653.00;;3:03pm;3:03pm - <b>653.00</b>;;;2.39B;;IG GROUP HOLDINGS PLC ORD 0.005;;;653.50;;-8.87;14.23;;-23.45%;-0.08%;+2.29%;+8.35%;+47.84%;653.50;325.61;13.54;14.20;;458.41;;0.00;LSE;IGG.L;;;602.69;431130;853.00;441.70;441.70 - 853.00;IGG.L
INTERCEDE GROUP PLC ORD 1P;GBp;46.00;45.50;48.50;-5.57%;6062.50;-2.70;46.00;45.50;-8.00;;;46.00;;7885;44.00;;0.01;-2.70;-7.40;-10.65;-19.85;7.80;;;-2.70 - -5.57%;-5.57%;;GBp;46.00;45.50;45.50 - 46.00;;;;;;;-4.53M;-9.70;0.00;;-8.00;;;53.20;;;;;;;;11/1/2017;45.80;;12:46pm;12:46pm - <b>45.80</b>;;;22.72M;;INTERCEDE GROUP PLC ORD 1P;;;45.50;;0.00;;;-30.24%;-5.57%;-13.91%;-18.86%;+20.53%;48.50;6062.50;;;;290.37;;0.00;LSE;IGP.L;;;56.44;22353;65.65;38.00;38.00 - 65.65;IGP.L
IG DESIGN GROUP PLC ORD 5P;GBp;370.00;362.00;362.00;+0.83%;263.08;+3.01;373.00;361.25;15.00;;;370.00;;57640;365.00;;1.38;+3.01;5.52;8.06;-22.49;162.51;;;+3.01 - +0.83%;+0.83%;;GBp;373.00;361.25;361.25 - 373.00;;;;;;;20.23M;16.10;0.00;;15.00;;7/6/2017;359.49;;;;;;;;11/1/2017;365.01;;2:34pm;2:34pm - <b>365.01</b>;;;228.65M;;IG DESIGN GROUP PLC ORD 5P;;;362.00;;0.00;24.33;;-5.80%;+0.83%;+1.54%;+2.26%;+80.25%;362.00;263.08;;;;72.92;;0.00;LSE;IGR.L;;;356.95;46097;387.50;202.50;202.50 - 387.50;IGR.L
INSPIRATION HEALTHCARE GROUP PL;GBp;72.00;69.50;70.00;+0.00%;598.29;+0.00;69.50;68.10;1.30;;;72.00;;4077;68.00;;0.12;+0.00;2.23;8.86;-4.00;17.00;;;+0.00 - +0.00%;+0.00%;;GBp;69.50;68.10;68.10 - 69.50;;;;;;;665000.00;3.40;0.00;;1.30;;;67.77;;;;;;;;10/31/2017;70.00;;4:30pm;4:30pm - <b>70.00</b>;;;21.47M;;INSPIRATION HEALTHCARE GROUP PL;;;69.50;;0.00;53.85;;-5.41%;+0.00%;+3.29%;+14.50%;+32.08%;70.00;598.29;;;;149.17;;0.00;LSE;IHC.L;;;61.14;25060;74.00;53.00;53.00 - 74.00;IHC.L
INTERCONTINENTAL HOTELS GROUP P;GBp;4246.00;4260.00;4172.00;+1.75%;;+73.00;4284.00;4215.00;223.00;;;4246.00;;631409;4244.00;;-5.63;+73.00;276.57;97.43;-247.00;1287.80;;;+73.00 - +1.75%;+1.75%;;GBp;4284.00;4215.00;4215.00 - 4284.00;;;;;;;780.00M;2.38;0.00;;223.00;;8/31/2017;3968.43;;;;;;;;11/1/2017;4245.00;;3:04pm;3:04pm - <b>4245.00</b>;;;8.32B;;INTERCONTINENTAL HOTELS GROUP P;;;4260.00;;2.17;19.04;;-5.50%;+1.75%;+6.97%;+2.35%;+43.55%;4172.00;;1783.61;1626.44;;471.58;;0.00;LSE;IHG.L;;;4147.57;806930;4492.00;2957.20;2957.20 - 4492.00;IHG.L
IMPACT HEALTHCARE REIT PLC ORD;GBp;104.000;103.385;103.000;+0.374%;;+0.385;103.385;103.385;;;;104.000;;701;102.000;;0.000;+0.385;102.395;102.401;-2.615;3.385;;;+0.385 - +0.374%;+0.374%;;GBp;103.385;103.385;103.385 - 103.385;;;;;;;0.00;;0.000;;;;8/10/2017;0.990;;;;;;;;11/1/2017;103.385;;12:53pm;12:53pm - <b>103.385</b>;;;165.59M;;IMPACT HEALTHCARE REIT PLC ORD;;;103.385;;0.000;;;-2.467%;+0.374%;+10343.731%;+10408.528%;+3.385%;103.000;;;;;;;0.000;LSE;IHR.L;;;0.984;984;106.000;100.000;100.000 - 106.000;IHR.L
3i Ord;GBp;961.0000;960.0000;961.0000;-0.0065%;158.3196;-0.0625;965.5000;958.5000;168.5000;;;961.0000;;270085;960.5000;;6.0700;-0.0625;954.0399;954.4009;-13.5625;361.4375;;;-0.0625 - -0.0065%;-0.0065%;;GBp;965.5000;958.5000;958.5000 - 965.5000;;;;;0.0000;0.0000;1.51B;102.3600;0.0000;;168.5000;;6/15/2017;6.8976;;;;;;;;11/1/2017;960.9375;;3:00pm;3:00pm - <b>960.9375</b>;;;9.24B;;3i Ord;;;960.0000;;-1.1000;5.7029;;-1.3917%;-0.0065%;+13831.4561%;+14600.9219%;+60.2898%;961.0000;158.3196;9.3878;9.7359;;568.9416;;0.0000;LSE;III.L;;;6.5366;1064223;974.5000;599.5000;599.5000 - 974.5000;III.L
INFRASTRUCTURE INDIA PLC ORD 1P;GBp;4.25;4.00;4.00;+0.00%;;+0.00;4.00;3.80;-0.50;;;4.25;;;3.75;;0.00;+0.00;3.60;3.53;0.00;3.96;;;+0.00 - +0.00%;+0.00%;;GBp;4.00;3.80;3.80 - 4.00;;;;;;;0.00;4.90;0.00;;-0.50;;;0.40;;;;;;;;10/31/2017;4.00;;4:30pm;4:30pm - <b>4.00</b>;;;;;INFRASTRUCTURE INDIA PLC ORD 1P;;;4.00;;0.00;;;+0.00%;+0.00%;+890.54%;+744.27%;+9900.00%;4.00;;;;;;;0.00;LSE;IIP.L;;;0.47;74574;4.00;0.04;0.04 - 4.00;IIP.L
Independent Ord;GBp;660.00;657.01;648.00;+1.84%;120.90;+11.93;660.40;652.11;138.10;;;660.00;;823;653.00;;5.36;+11.93;654.08;654.46;-0.47;314.93;;;+11.93 - +1.84%;+1.84%;;GBp;660.40;652.11;652.11 - 660.40;;;;;;;0.00;nan;0.00;;138.10;;2/23/2017;5.85;;;;;;;;11/1/2017;659.93;;2:58pm;2:58pm - <b>659.93</b>;;;366.06M;;Independent Ord;;;657.01;;0.00;4.78;;-0.07%;+1.84%;+11182.07%;+11953.65%;+91.28%;648.00;120.90;;;;465.54;;0.00;LSE;IIT.L;;;5.47;21212;660.40;345.00;345.00 - 660.40;IIT.L
ILIKA PLC ORD 1P;GBp;26.00;25.00;25.50;+0.00%;318.75;+0.00;25.50;25.00;-4.80;;;26.00;;68822;25.00;;0.08;+0.00;-0.71;-9.63;-29.25;1.00;;;+0.00 - +0.00%;+0.00%;;GBp;25.50;25.00;25.00 - 25.50;;;;;;;-3.74M;-2.95;0.00;;-4.80;;;26.21;;;;;;;;11/1/2017;25.50;;2:06pm;2:06pm - <b>25.50</b>;;;19.99M;;ILIKA PLC ORD 1P;;;25.00;;0.00;;;-53.42%;+0.00%;-2.72%;-27.41%;+4.08%;25.50;318.75;;;;1902.84;;0.00;LSE;IKA.L;;;35.13;84867;54.75;24.50;24.50 - 54.75;IKA.L
INCH KENNETH KAJANG RUBBER PLC;MYR;0.69;0.68;0.69;+0.73%;0.44;+0.00;0.69;0.68;;;;0.69;;98312;0.68;;1.57;+0.00;0.01;0.00;-0.06;0.04;;;+0.00 - +0.73%;+0.73%;;MYR;0.69;0.68;0.68 - 0.69;;;;;;;-8.39M;;0.00;;;;5/30/2017;0.68;;;;;;;;11/1/2017;0.69;;2:42pm;2:42pm - <b>0.69</b>;;;290.32M;;INCH KENNETH KAJANG RUBBER PLC;;;0.68;;0.00;;;-8.00%;+0.73%;+1.47%;+0.56%;+6.15%;0.69;0.44;;;;28.14;;0.00;KLS;IKEN.KL;;;0.69;34000;0.75;0.65;0.65 - 0.75;IKEN.KL
PERMANENT TSB GROU;EUR;1.980;1.900;1.960;+0.714%;;+0.014;1.990;1.900;;;;1.980;;;1.969;;0.000;+0.014;1.974;1.974;-0.987;0.334;;;+0.014 - +0.714%;+0.714%;;EUR;1.990;1.900;1.900 - 1.990;;;;;;;0.00;;0.000;;;;;0.000;;;;;;;;11/1/2017;1.974;;2:43pm;2:43pm - <b>1.974</b>;;;897.57M;;PERMANENT TSB GROU;;;1.900;;0.000;;;-33.333%;+0.714%;+inf%;+inf%;+20.366%;1.960;;;;;;;0.000;ISE;IL0A.IR;;;0.000;400125;2.961;1.640;1.640 - 2.961;IL0A.IR
IMPERIAL BRANDS PLC ORD 10P;GBp;3085.50;3076.00;3070.50;+0.47%;560.00;+14.50;3101.50;3065.00;106.20;;;3085.50;;2197610;3084.50;;5.48;+14.50;-103.44;-328.63;-871.50;24.50;;;+14.50 - +0.47%;+0.47%;;GBp;3101.50;3065.00;3065.00 - 3101.50;;;;;2.01;4.78;3.60B;268.75;0.00;;106.20;;8/17/2017;3188.44;;;;;;;;11/1/2017;3085.00;;3:02pm;3:02pm - <b>3085.00</b>;;;29.44B;;IMPERIAL BRANDS PLC ORD 10P;;;3076.00;;2.44;29.05;;-22.03%;+0.47%;-3.24%;-9.63%;+0.80%;3070.50;560.00;11.48;11.12;;197.98;;0.00;LSE;IMB.L;;;3413.63;1871291;3956.50;3060.50;3060.50 - 3956.50;IMB.L
IMMEDIA GROUP PLC ORD 10P;GBp;22.00;19.00;20.50;-2.38%;455.56;-0.50;19.00;19.00;-2.70;;;22.00;;350;19.00;;0.05;-0.50;-1.78;-5.07;-20.00;1.50;;;-0.50 - -2.38%;-2.38%;;GBp;19.00;19.00;19.00 - 19.00;;;;;;;-214952.00;3.00;0.00;;-2.70;;;22.28;;;;;;;;10/31/2017;20.50;;4:30pm;4:30pm - <b>20.50</b>;;;2.81M;;IMMEDIA GROUP PLC ORD 10P;;;19.00;;0.00;;;-49.38%;-2.38%;-8.00%;-19.81%;+7.89%;20.50;455.56;;;;82.75;;0.00;LSE;IME.L;;;25.57;1000;40.50;19.00;19.00 - 40.50;IME.L
IMAGINATION TECHNOLOGIES GROUP;GBp;181.5000;181.2500;180.5000;+0.4682%;427.7251;+0.8451;181.8025;179.1300;-10.0000;;;181.5000;;3125380;181.2500;;0.4220;+0.8451;19.3721;45.2841;-116.1549;105.3451;;;+0.8451 - +0.4682%;+0.4682%;;GBp;181.8025;179.1300;179.1300 - 181.8025;;;;;;;16.69M;6.4200;0.0000;;-10.0000;;;161.9730;;;;;;;;11/1/2017;181.3451;;2:49pm;2:49pm - <b>181.3451</b>;;;513.14M;;IMAGINATION TECHNOLOGIES GROUP;;;181.2500;;0.0000;;;-39.0437%;+0.4682%;+11.9601%;+33.2822%;+138.6120%;180.5000;427.7251;;;;351.7235;;0.0000;LSE;IMG.L;;;136.0610;12690203;297.5000;76.0000;76.0000 - 297.5000;IMG.L
IMI PLC ORD 28 4/7P;GBp;1247.00;1233.00;1222.00;+1.96%;570.76;+24.00;1249.00;1225.00;55.60;;;1247.00;;609616;1246.00;;2.14;+24.00;39.70;26.97;-79.00;354.50;;;+24.00 - +1.96%;+1.96%;;GBp;1249.00;1225.00;1225.00 - 1249.00;;;;;0.37;2.54;295.20M;62.27;0.00;;55.60;;8/10/2017;1206.30;;;;;;;;11/1/2017;1246.00;;2:59pm;2:59pm - <b>1246.00</b>;;;3.38B;;IMI PLC ORD 28 4/7P;;;1233.00;;0.00;22.41;;-5.96%;+1.96%;+3.29%;+2.21%;+39.76%;1222.00;570.76;;;;190.24;;0.00;LSE;IMI.L;;;1219.03;251495;1325.00;891.50;891.50 - 1325.00;IMI.L
IMMUPHARMA PLC ORD 10P;GBp;98.750;95.800;95.000;+3.309%;1938.776;+3.144;99.000;93.500;-3.700;;;98.750;;365433;95.000;;0.049;+3.144;23.472;39.626;-5.356;66.704;;;+3.144 - +3.309%;+3.309%;;GBp;99.000;93.500;93.500 - 99.000;;;;;;;-6.41M;-4.260;0.000;;-3.700;;;74.672;;;;;;;;11/1/2017;98.144;;2:56pm;2:56pm - <b>98.144</b>;;;127.11M;;IMMUPHARMA PLC ORD 10P;;;95.800;;0.000;;;-5.175%;+3.309%;+31.433%;+67.716%;+212.163%;95.000;1938.776;;;;49540.652;;0.000;LSE;IMM.L;;;58.518;110508;103.500;31.440;31.440 - 103.500;IMM.L
IMIMOBILE PLC ORD 10P;GBp;200.00;216.75;207.50;-3.66%;249.40;-7.60;216.75;198.95;8.80;;;200.00;;42708;198.00;;0.83;-7.60;1.04;-5.37;-30.10;43.90;;;-7.60 - -3.66%;-3.66%;;GBp;216.75;198.95;198.95 - 216.75;;;;;;;8.39M;11.30;0.00;;8.80;;;198.86;;;;;;;;11/1/2017;199.90;;2:54pm;2:54pm - <b>199.90</b>;;;121.97M;;IMIMOBILE PLC ORD 10P;;;216.75;;0.00;22.72;;-13.09%;-3.66%;+0.52%;-2.62%;+28.14%;207.50;249.40;;;;166.34;;0.00;LSE;IMO.L;;;205.27;4688838;230.00;156.00;156.00 - 230.00;IMO.L
IMAGINATIK PLC ORD 1P;GBp;1.75;1.50;1.62;-7.69%;;-0.12;1.50;1.50;-0.60;;;1.75;;110625;1.50;;-0.00;-0.12;-0.17;-0.41;-1.30;0.40;;;-0.12 - -7.69%;-7.69%;;GBp;1.50;1.50;1.50 - 1.50;;;;;;;-735000.00;-0.20;0.00;;-0.60;;;1.67;;;;;;;;11/1/2017;1.50;;12:58pm;12:58pm - <b>1.50</b>;;;2.28M;;IMAGINATIK PLC ORD 1P;;;1.50;;0.00;;;-46.43%;-7.69%;-10.12%;-21.47%;+36.36%;1.62;;;;;62.94;;0.00;LSE;IMTK.L;;;1.91;272;2.80;1.10;1.10 - 2.80;IMTK.L
INCHCAPE PLC ORD 10P;GBp;777.50;784.50;781.50;-0.51%;247.08;-4.00;791.00;769.00;47.80;;;777.50;;929520;777.00;;3.16;-4.00;-54.68;-43.53;-107.50;190.50;;;-4.00 - -0.51%;-0.51%;;GBp;791.00;769.00;769.00 - 791.00;;;;;;;431.60M;65.68;0.00;;47.80;;8/3/2017;832.18;;;;;;;;11/1/2017;777.50;;2:58pm;2:58pm - <b>777.50</b>;;;3.25B;;INCHCAPE PLC ORD 10P;;;784.50;;1.68;16.27;;-12.15%;-0.51%;-6.57%;-5.30%;+32.45%;781.50;247.08;11.84;11.64;;38.25;;0.00;LSE;INCH.L;;;821.03;1054424;885.00;587.00;587.00 - 885.00;INCH.L
INDIGOVISION GROUP PLC ORD 1P;GBp;165.00;161.00;162.50;-1.52%;64.77;-2.50;161.00;161.00;-42.50;;;165.00;;7624;160.00;;2.51;-2.50;-31.93;-58.31;-136.50;13.50;;;-2.50 - -1.52%;-1.52%;;GBp;161.00;161.00;161.00 - 161.00;;;;;;;275000.00;15.20;0.00;;-42.50;;4/20/2017;194.43;;;;;;;;10/31/2017;162.50;;4:30pm;4:30pm - <b>162.50</b>;;;12.14M;;INDIGOVISION GROUP PLC ORD 1P;;;161.00;;0.00;;;-45.65%;-1.52%;-16.42%;-26.41%;+9.06%;162.50;64.77;10.69;7.13;;27.25;;0.00;LSE;IND.L;;;220.81;5000;299.00;149.00;149.00 - 299.00;IND.L
INDIVIOR PLC ORD USD0.10;GBp;403.30;402.00;371.60;+8.48%;;+31.50;416.70;400.81;11.10;;;403.30;;2866600;403.10;;-0.18;+31.50;73.57;65.88;-18.40;156.60;;;+31.50 - +8.48%;+8.48%;;GBp;416.70;400.81;400.81 - 416.70;;;;;0.00;0.00;228.00M;0.38;0.03;;11.10;;6/16/2016;329.54;;;;;;;;11/1/2017;403.10;;2:58pm;2:58pm - <b>403.10</b>;;;2.91B;;INDIVIOR PLC ORD USD0.10;;;402.00;;-0.44;36.32;;-4.37%;+8.48%;+22.32%;+19.54%;+63.53%;371.60;;1060.79;1550.38;;248.07;;0.00;LSE;INDV.L;;;337.22;4262900;421.50;246.50;246.50 - 421.50;INDV.L
INFORMA PLC ORD 0.1P;GBp;692.50;697.00;697.00;-0.65%;268.90;-4.50;702.00;686.00;24.40;;;692.50;;1732270;692.00;;2.59;-4.50;12.91;15.81;-32.50;212.50;;;-4.50 - -0.65%;-0.65%;;GBp;702.00;686.00;686.00 - 702.00;;;;;;;506.90M;46.52;0.00;;24.40;;8/10/2017;679.59;;;;;;;;11/1/2017;692.50;;2:55pm;2:55pm - <b>692.50</b>;;;5.70B;;INFORMA PLC ORD 0.1P;;;697.00;;2.34;28.38;;-4.48%;-0.65%;+1.90%;+2.34%;+44.27%;697.00;268.90;14.89;13.99;;355.80;;0.00;LSE;INF.L;;;676.69;1403142;725.00;480.00;480.00 - 725.00;INF.L
INFRASTRATA PLC ORD 0.01P;GBp;0.4900;0.4940;0.4900;-2.0204%;14.0000;-0.0099;0.4940;0.4625;-0.1000;;;0.4900;;6475610;0.4800;;0.0350;-0.0099;-0.0860;-0.2291;-0.8449;0.0701;;;-0.0099 - -2.0204%;-2.0204%;;GBp;0.4940;0.4625;0.4625 - 0.4940;;;;;;;-247070.00;-0.8500;0.0000;;-0.1000;;;0.5661;;;;;;;;11/1/2017;0.4801;;2:51pm;2:51pm - <b>0.4801</b>;;;902784.81;;INFRASTRATA PLC ORD 0.01P;;;0.4940;;0.0000;;;-63.7660%;-2.0204%;-15.1888%;-32.3005%;+17.0976%;0.4900;14.0000;;;;184.2802;;0.0000;LSE;INFA.L;;;0.7092;9025728;1.3250;0.4100;0.4100 - 1.3250;INFA.L
INFINITY ENERGY S.A ORD NPV;GBp;;0.13;0.14;+0.00%;;+0.00;;;-0.00;;;;;58552700;;;0.00;+0.00;0.01;0.02;-0.24;0.08;;;+0.00 - +0.00%;+0.00%;;GBp;;;;;;;;;;0.00;;0.00;;-0.00;;;0.13;;;;;;;;10/13/2017;0.14;;3:30pm;3:30pm - <b>0.14</b>;;;2.46M;;INFINITY ENERGY S.A ORD NPV;;;0.13;;0.00;;;-63.16%;+0.00%;+7.38%;+14.85%;+129.51%;0.14;;;;;41112.44;;0.00;LSE;INFT.L;;;0.12;;0.38;0.06;0.06 - 0.38;INFT.L
INGENTA PLC ORD 10P;GBp;162.00;155.88;157.50;-1.03%;492.19;-1.62;155.88;155.88;4.60;;;162.00;;2957;153.00;;0.32;-1.62;-2.15;-26.48;-69.15;8.87;;;-1.62 - -1.03%;-1.03%;;GBp;155.88;155.88;155.88 - 155.88;;;;;;;1.03M;;0.00;;4.60;;5/25/2017;158.03;;;;;;;;11/1/2017;155.88;;9:34am;9:34am - <b>155.88</b>;;;26.37M;;INGENTA PLC ORD 10P;;;155.88;;0.00;33.89;;-30.73%;-1.03%;-1.36%;-14.52%;+6.03%;157.50;492.19;;;;168.91;;0.00;LSE;ING.L;;;182.36;1000;225.03;147.01;147.01 - 225.03;ING.L
INLAND HOMES PLC ORD 10P;GBp;59.50;59.50;60.00;-0.83%;92.88;-0.50;60.00;59.50;7.50;;;59.50;;391854;59.00;;0.65;-0.50;-0.01;0.83;-6.75;8.50;;;-0.50 - -0.83%;-0.83%;;GBp;60.00;59.50;59.50 - 60.00;;;;;;;12.18M;8.63;0.00;;7.50;;6/1/2017;59.51;;;;;;;;11/1/2017;59.50;;2:17pm;2:17pm - <b>59.50</b>;;;120.21M;;INLAND HOMES PLC ORD 10P;;;59.50;;0.00;7.93;;-10.19%;-0.83%;-0.01%;+1.41%;+16.67%;60.00;92.88;;;;133.60;;0.00;LSE;INL.L;;;58.67;295164;66.25;51.00;51.00 - 66.25;INL.L
INSTEM PLC ORD 10P;GBp;143.0000;141.0000;144.0000;-2.4497%;187.7445;-3.5275;143.0000;140.4725;1.9000;;;143.0000;;1642;140.0000;;0.7670;-3.5275;-21.8655;-38.0525;-161.0275;0.0000;;;-3.5275 - -2.4497%;-2.4497%;;GBp;143.0000;140.4725;140.4725 - 143.0000;;;;;;;61000.00;2.1000;0.0000;;1.9000;;;162.3380;;;;;;;;11/1/2017;140.4725;;2:52pm;2:52pm - <b>140.4725</b>;;;22.17M;;INSTEM PLC ORD 10P;;;141.0000;;0.0000;73.9329;;-53.4088%;-2.4497%;-13.4691%;-21.3149%;+0.0000%;144.0000;187.7445;;;;116.2904;;0.0000;LSE;INS.L;;;178.5250;12556;301.5000;140.4725;140.4725 - 301.5000;INS.L
INSPIRED ENERGY PLC ORD 0.125P;GBp;17.750;17.425;17.375;+1.439%;482.639;+0.250;17.750;17.350;0.700;;;17.750;;554748;17.500;;0.036;+0.250;-1.958;-0.899;-3.000;6.025;;;+0.250 - +1.439%;+1.439%;;GBp;17.750;17.350;17.350 - 17.750;;;;;;;7.52M;1.140;0.000;;0.700;;9/7/2017;19.583;;;;;;;;11/1/2017;17.625;;2:26pm;2:26pm - <b>17.625</b>;;;85.75M;;INSPIRED ENERGY PLC ORD 0.125P;;;17.425;;0.000;25.179;;-14.545%;+1.439%;-10.000%;-4.856%;+51.940%;17.375;482.639;;;;358.379;;0.000;LSE;INSE.L;;;18.524;829713;20.625;11.600;11.600 - 20.625;INSE.L
INSPIRIT ENERGY HOLDINGS PLC OR;GBp;0.095;0.090;0.095;-7.368%;31.667;-0.007;0.094;0.088;-0.000;;;0.095;;4762140;0.090;;0.003;-0.007;-0.017;-0.045;-0.226;0.000;;;-0.007 - -7.368%;-7.368%;;GBp;0.094;0.088;0.088 - 0.094;;;;;;;-374000.00;11.150;0.000;;-0.000;;;0.105;;;;;;;;11/1/2017;0.088;;1:06pm;1:06pm - <b>0.088</b>;;;824389.31;;INSPIRIT ENERGY HOLDINGS PLC OR;;;0.090;;0.000;;;-71.975%;-7.368%;-15.823%;-34.047%;+0.000%;0.095;31.667;;;;;;0.000;LSE;INSP.L;;;0.133;1595055;0.314;0.088;0.088 - 0.314;INSP.L
INTU PROPERTIES PLC ORD 50P;GBp;214.90;216.70;216.00;-0.56%;58.13;-1.20;216.70;213.60;16.70;;;214.90;;3372040;214.80;;3.72;-1.20;-13.60;-40.90;-83.50;4.40;;;-1.20 - -0.56%;-0.56%;;GBp;216.70;213.60;213.60 - 216.70;;;;;;;386.00M;15.05;0.00;;16.70;;10/19/2017;228.40;;;;;;;;11/1/2017;214.80;;3:00pm;3:00pm - <b>214.80</b>;;;2.89B;;INTU PROPERTIES PLC ORD 50P;;;216.70;;0.00;12.86;;-27.99%;-0.56%;-5.95%;-16.00%;+2.09%;216.00;58.13;;;;470.68;;0.00;LSE;INTU.L;;;255.70;2707994;298.30;210.40;210.40 - 298.30;INTU.L
INVESTEC PLC ORD GBP0.0002;GBp;521.50;516.50;515.50;+1.16%;119.77;+6.00;525.50;516.00;48.80;;;521.50;;1343060;521.00;;4.30;+6.00;-29.31;-53.28;-109.00;43.60;;;+6.00 - +1.16%;+1.16%;;GBp;525.50;516.00;516.00 - 525.50;;;;;0.29;3.91;0.00;54.70;0.00;;48.80;;7/27/2017;550.81;;;;;;;;11/1/2017;521.50;;3:02pm;3:02pm - <b>521.50</b>;;;4.74B;;INVESTEC PLC ORD GBP0.0002;;;516.50;;0.58;10.69;;-17.29%;+1.16%;-5.32%;-9.27%;+9.12%;515.50;119.77;9.53;9.01;;218.58;;0.00;LSE;INVP.L;;;574.78;1702850;630.50;477.90;477.90 - 630.50;INVP.L
IOFINA PLC ORD 1P;GBp;14.750;13.625;14.125;+2.832%;122.826;+0.400;14.886;13.625;-2.800;;;14.750;;298065;14.000;;0.115;+0.400;0.336;1.560;-3.975;7.152;;;+0.400 - +2.832%;+2.832%;;GBp;14.886;13.625;13.625 - 14.886;;;;;;;-770267.00;-0.030;0.000;;-2.800;;;14.189;;;;;;;;11/1/2017;14.525;;2:56pm;2:56pm - <b>14.525</b>;;;18.53M;;IOFINA PLC ORD 1P;;;13.625;;0.000;;;-21.486%;+2.832%;+2.367%;+12.029%;+97.016%;14.125;122.826;;;;88.517;;0.000;LSE;IOF.L;;;12.965;441408;18.500;7.372;7.372 - 18.500;IOF.L
INDEPENDENT OIL & GAS PLC ORD 1;GBp;25.50;24.12;24.75;+0.00%;;+0.00;25.50;23.60;-21.10;;;25.50;;838604;23.50;;-0.05;+0.00;5.94;8.16;-3.14;12.25;;;+0.00 - +0.00%;+0.00%;;GBp;25.50;23.60;23.60 - 25.50;;;;;;;-987999.00;-0.40;0.00;;-21.10;;;18.81;;;;;;;;11/1/2017;24.75;;2:37pm;2:37pm - <b>24.75</b>;;;27.11M;;INDEPENDENT OIL & GAS PLC ORD 1;;;24.12;;0.00;;;-11.26%;+0.00%;+31.60%;+49.22%;+98.00%;24.75;;;;;;;0.00;LSE;IOG.L;;;16.59;301622;27.89;12.50;12.50 - 27.89;IOG.L
IOMART GROUP PLC ORD 1P;GBp;357.25;354.75;354.75;+0.07%;408.23;+0.25;355.00;351.00;11.10;;;357.25;;120539;352.50;;0.87;+0.25;13.01;36.10;-25.00;105.00;;;+0.25 - +0.07%;+0.07%;;GBp;355.00;351.00;351.00 - 355.00;;;;;;;32.87M;16.94;0.00;;11.10;;8/10/2017;341.99;;;;;;;;11/1/2017;355.00;;2:56pm;2:56pm - <b>355.00</b>;;;381.84M;;IOMART GROUP PLC ORD 1P;;;354.75;;0.00;31.98;;-6.58%;+0.07%;+3.80%;+11.32%;+42.00%;354.75;408.23;;;;425.99;;0.00;LSE;IOM.L;;;318.90;146327;380.00;250.00;250.00 - 380.00;IOM.L
