Name;Currency;Ask;Open;PreviousClose;PercentChange;PriceBook;Change;DaysHigh;DaysLow;EarningsShare;AfterHoursChangeRealtime;AnnualizedGain;Ask;AskRealtime;AverageDailyVolume;Bid;BidRealtime;BookValue;Change;ChangeFromFiftydayMovingAverage;ChangeFromTwoHundreddayMovingAverage;ChangeFromYearHigh;ChangeFromYearLow;ChangePercentRealtime;ChangeRealtime;Change_PercentChange;ChangeinPercent;Commission;Currency;DaysHigh;DaysLow;DaysRange;DaysRangeRealtime;DaysValueChange;DaysValueChangeRealtime;DividendPayDate;DividendShare;DividendYield;EBITDA;EPSEstimateCurrentYear;EPSEstimateNextQuarter;EPSEstimateNextYear;EarningsShare;ErrorIndicationreturnedforsymbolchangedinvalid;ExDividendDate;FiftydayMovingAverage;HighLimit;HoldingsGain;HoldingsGainPercent;HoldingsGainPercentRealtime;HoldingsGainRealtime;HoldingsValue;HoldingsValueRealtime;LastTradeDate;LastTradePriceOnly;LastTradeRealtimeWithTime;LastTradeTime;LastTradeWithTime;LowLimit;MarketCapRealtime;MarketCapitalization;MoreInfo;Name;Notes;OneyrTargetPrice;Open;OrderBookRealtime;PEGRatio;PERatio;PERatioRealtime;PercebtChangeFromYearHigh;PercentChange;PercentChangeFromFiftydayMovingAverage;PercentChangeFromTwoHundreddayMovingAverage;PercentChangeFromYearLow;PreviousClose;PriceBook;PriceEPSEstimateCurrentYear;PriceEPSEstimateNextYear;PricePaid;PriceSales;SharesOwned;ShortRatio;StockExchange;Symbol;TickerTrend;TradeDate;TwoHundreddayMovingAverage;Volume;YearHigh;YearLow;YearRange;symbol
FISHGUARD & ROSSLARE RAILWAYS &;GBP;;55.00;55.00;+0.00%;;+0.00;;;;;;;;;;;0.00;+0.00;-5445.00;-5445.00;-5445.00;-5445.00;;;+0.00 - +0.00%;+0.00%;;GBP;;;;;;;;;;0.00;;0.00;;;;;5500.00;;;;;;;;1/30/2014;55.00;;12:43pm;12:43pm - <b>55.00</b>;;;68.04M;;FISHGUARD & ROSSLARE RAILWAYS &;;;55.00;;0.00;;;-99.00%;+0.00%;-99.00%;-99.00%;-99.00%;55.00;;;;;;;0.00;LSE;72GU.L;;;5500.00;;5500.00;5500.00;5500.00 - 5500.00;72GU.L
BBVA CAPITAL FUNDING LD 'A'9% N;EUR;;;;+0.00%;;+0.00;;;;;;;;;;;0.00;+0.00;;;;;;;+0.00 - +0.00%;+0.00%;;EUR;;;;;;;;;;0.00;;0.00;;;;;0.00;;;;;;;;;;;;;;;;;BBVA CAPITAL FUNDING LD 'A'9% N;;;;;0.00;;;;+0.00%;;;;;;;;;;;0.00;LSE;77GD.L;;;0.00;;;;;77GD.L
7DIGITAL GROUP PLC ORD 1P;GBp;5.50;5.50;5.62;-6.13%;;-0.34;5.50;5.26;-4.00;;;5.50;;393488;5.25;;-0.00;-0.34;-0.80;-1.10;-4.47;0.17;;;-0.34 - -6.13%;-6.13%;;GBp;5.50;5.26;5.26 - 5.50;;;;;;;-5.12M;-1.32;0.00;;-4.00;;7/4/2012;6.08;;;;;;;;11/1/2017;5.28;;2:33pm;2:33pm - <b>5.28</b>;;;7.37M;;7DIGITAL GROUP PLC ORD 1P;;;5.50;;0.00;;;-45.85%;-6.13%;-13.17%;-17.19%;+3.33%;5.62;;;;;63.39;;0.00;LSE;7DIG.L;;;6.38;357673;9.75;5.11;5.11 - 9.75;7DIG.L
CICASSIA PHARMACEUTICALS;EUR;0.997;0.955;0.936;+2.030%;0.760;+0.019;0.955;0.953;-0.311;;;0.997;;222;0.951;;1.231;+0.019;0.004;-0.057;-0.340;0.106;;;+0.019 - +2.030%;+2.030%;;EUR;0.955;0.953;0.953 - 0.955;;;;;;;-105.80M;;0.000;;-0.311;;;0.951;;;;;;;;11/1/2017;0.955;;2:00pm;2:00pm - <b>0.955</b>;;;291.96M;;CICASSIA PHARMACEUTICALS;;;0.955;;0.000;;;-26.255%;+2.030%;+0.445%;-5.653%;+12.485%;0.936;0.760;;;;7.194;;0.000;FRA;82C.F;;;1.012;5000;1.295;0.849;0.849 - 1.295;82C.F
WITAN INVESTMENT TRUST PLC 3.4%;GBp;;72.00;52.50;+0.00%;;+0.00;72.00;72.00;;;;;;;;;0.00;+0.00;0.00;0.00;-19.50;0.00;;;+0.00 - +0.00%;+0.00%;;GBp;72.00;72.00;72.00 - 72.00;;;;;;;0.00;;0.00;;;;12/15/2016;52.50;;;;;;;;10/31/2017;52.50;;4:30pm;4:30pm - <b>52.50</b>;;;1.08M;;WITAN INVESTMENT TRUST PLC 3.4%;;;72.00;;0.00;;;-27.08%;+0.00%;+0.00%;+0.00%;+0.00%;52.50;;;;;;;0.00;LSE;87IP.L;;;52.50;1900;72.00;52.50;52.50 - 72.00;87IP.L
88 ENERGY LIMITED ORD NPV (DI);GBp;1.050;0.946;0.950;+7.895%;95.000;+0.075;1.050;0.946;-0.100;;;1.050;;53486600;0.950;;0.010;+0.075;-0.169;-1.188;-3.225;0.125;;;+0.075 - +7.895%;+7.895%;;GBp;1.050;0.946;0.946 - 1.050;;;;;;;-4.15M;;0.000;;-0.100;;;1.194;;;;;;;;11/1/2017;1.025;;2:43pm;2:43pm - <b>1.025</b>;;;47.65M;;88 ENERGY LIMITED ORD NPV (DI);;;0.946;;0.000;;;-75.882%;+7.895%;-14.148%;-53.689%;+13.889%;0.950;95.000;;;;;;0.000;LSE;88E.L;;;2.213;24533303;4.250;0.900;0.900 - 4.250;88E.L
JARDINE STRATEGIC HOLDINGS LD O;USD;;31.14;31.14;+0.00%;;+0.00;;;3.86;;;;;;;;0.00;+0.00;31.14;31.14;-14.83;-0.42;;;+0.00 - +0.00%;+0.00%;;USD;;;;;;;;;;0.00;;0.00;;3.86;;;0.00;;;;;;;;4/11/2016;31.14;;4:01pm;4:01pm - <b>31.14</b>;;;34.50B;;JARDINE STRATEGIC HOLDINGS LD O;;;31.14;;0.00;;;-32.26%;+0.00%;+inf%;+inf%;-1.33%;31.14;;;;;;;0.00;LSE;88EI.L;;;0.00;;45.97;31.56;31.56 - 45.97;88EI.L
GREAT WESTERN MINI;EUR;0.014;0.014;0.014;+0.000%;;+0.000;0.014;0.014;;;;0.014;;;0.011;;0.000;+0.000;0.014;0.014;-0.006;0.011;;;+0.000 - +0.000%;+0.000%;;EUR;0.014;0.014;0.014 - 0.014;;;;;;;0.00;;0.000;;;;;0.000;;;;;;;;10/24/2017;0.014;;10:46am;10:46am - <b>0.014</b>;;;8.30M;;GREAT WESTERN MINI;;;0.014;;0.000;;;-30.000%;+0.000%;+inf%;+inf%;+366.667%;0.014;;;;;;;0.000;ISE;8GW.IR;;;0.000;200000;0.020;0.003;0.003 - 0.020;8GW.IR
MERCANTILE PORTS+LOGI.LTD;EUR;0.116;0.093;0.089;+4.494%;0.283;+0.004;0.093;0.093;-0.014;;;0.116;;15;0.098;;0.315;+0.004;0.010;0.033;-0.023;0.067;;;+0.004 - +4.494%;+4.494%;;EUR;0.093;0.093;0.093 - 0.093;;;;;;;-3.91M;;0.000;;-0.014;;;0.083;;;;;;;;11/1/2017;0.093;;8:16am;8:16am - <b>0.093</b>;;;37.92M;;MERCANTILE PORTS+LOGI.LTD;;;0.093;;0.000;;;-19.828%;+4.494%;+12.010%;+55.018%;+257.692%;0.089;0.283;;;;;;0.000;FRA;9KS.F;;;0.060;1000;0.116;0.026;0.026 - 0.116;9KS.F
AMIAD WATER SYS.LTD.IS-50;EUR;1.724;1.593;1.590;+0.189%;0.633;+0.003;1.593;1.593;0.149;;;1.724;;128;1.568;;2.510;+0.003;0.158;0.231;0.000;0.349;;;+0.003 - +0.189%;+0.189%;;EUR;1.593;1.593;1.593 - 1.593;;;;;;;7.49M;;0.000;;0.149;;4/6/2017;1.435;;;;;;;;11/1/2017;1.593;;8:20am;8:20am - <b>1.593</b>;;;36.10M;;AMIAD WATER SYS.LTD.IS-50;;;1.593;;0.000;10.691;;+0.000%;+0.189%;+11.019%;+16.930%;+28.055%;1.590;0.633;;;;0.331;;0.000;FRA;A5F.F;;;1.362;2000;1.593;1.244;1.244 - 1.593;A5F.F
